Card Name,Condition,Creation Date,Custom Price,Foil,Foil/Etched,Frame Type,Language,Mana Cost,Mana Value,Quantity,Rarity,Reserved List,Scryfall Id,Set Code
Immolation,,2025-10-01T23:43:19,-,,,Regular,,{R},1,1,C,,97429880-42dc-4d11-a922-5285d94cb713,4bb
Island,,2025-10-01T21:14:58,-,foil,foil,Regular,,,0,1,R,,8755900e-ca16-43b3-8137-7af437e30410,pal99
Island,,2025-10-04T18:31:19,-,,,Regular,,,0,1,C,,fb31794e-9d13-4271-89b5-7a4a83b8a317,fbb
Island,,2025-10-04T18:31:07,-,,,Regular,,,0,1,C,,ea55b5ff-e0eb-4854-93a7-f02852c07d32,psal
Jandor's Saddlebags,,2025-10-04T01:45:05,-,,,Regular,,{2},2,1,R,,7060f05b-e73a-4d9a-8616-ff524b7193a2,fbb
Lance,,2025-10-04T23:12:33,-,,,Regular,,{W},1,1,U,,450ade51-caad-44ad-ae26-194762b9e546,fbb
Lightning Bolt,,2025-10-01T23:17:21,-,,,Regular,,{R},1,1,C,,310de1ef-f1b6-4b61-9d6c-6b70382a7f95,4bb
Lure,,2025-10-01T22:47:18,-,,,Regular,,{1}{G}{G},3,1,U,,d0b9d8a2-a41f-42ae-acbe-309f4f57171a,fbb
Mishra's Factory,,2025-10-03T23:56:07,-,,,Regular,,,0,1,U,,89f9f5d6-d0f2-49e2-b522-cb1df92855bf,4bb
Mons's Goblin Raiders,,2025-10-01T22:58:37,-,,,Regular,,{R},1,1,C,,feaf3f96-6317-4d94-87e1-123c3170357f,fbb
Mountain,,2025-10-04T02:09:02,-,,,Regular,,,0,1,C,,2d45fcbd-59fd-4dee-9d0a-d4ee5f7afded,fbb
Nantuko Husk,,2025-10-01T19:29:43,-,,,Regular,,{2}{B},3,1,U,,bcf8b9ea-50f5-469d-a44e-fe82e04794eb,psal
Nettling Imp,,2025-10-01T19:27:17,-,,,Regular,,{2}{B},3,1,U,,67473455-ed08-4c4c-87db-31dba1344ab1,fbb
Ornithopter,,2025-10-04T00:05:23,-,,,Regular,,{0},0,1,U,,9f5a6c49-4f9a-417b-84ea-cba35692e72c,4bb
Pestilence,,2025-10-01T20:46:29,-,,,Regular,,{2}{B}{B},4,1,C,,c1d4a66a-9b9a-41be-be47-0fc12fee0e9d,fbb
Phantom Monster,,2025-11-16T17:56:12,-,,,Regular,,{3}{U},4,1,U,,64c21176-85bc-4720-82e2-12e6180bf89c,fbb
Plague Rats,,2025-10-01T19:33:10,-,,,Regular,,{2}{B},3,1,C,,64109f11-a32f-4536-b303-331181867cf1,fbb
Power Surge,,2025-10-01T23:31:05,-,,,Regular,,{R}{R},2,1,R,,fd8e2644-03a4-43a4-ace4-035969c40a2d,4bb
Pyrotechnics,,2025-10-01T23:35:04,-,,,Regular,,{4}{R},5,1,U,,e9f39f37-d25f-48f2-9b74-b57a9cf83ebd,4bb
Pyrotechnics,,2025-10-01T23:35:07,-,,,Regular,,{4}{R},5,1,U,,e9f39f37-d25f-48f2-9b74-b57a9cf83ebd,4bb
Red Elemental Blast,,2025-10-01T23:18:14,-,,,Regular,,{R},1,1,C,,21bd3968-62ea-4289-b5ca-d64e3588bb8f,fbb
Red Elemental Blast,,2025-10-01T23:18:12,-,,,Regular,,{R},1,1,C,,67459742-30ec-49e7-a351-2c9c5bb4b852,4bb
Regrowth,,2025-10-01T21:04:14,-,,,Regular,,{1}{G},2,1,U,,610b15ac-cde3-4ecf-b435-24ef5bc0ff77,fbb
Royal Assassin,,2025-10-01T20:58:01,-,,,Regular,,{1}{B}{B},3,1,R,,77fbcf5a-eab7-4f0c-9ae2-b99e2d064de8,fbb
Shanodin Dryads,,2025-10-01T22:08:46,-,,,Regular,,{G},1,1,C,,600bbc1c-f8be-4c93-9435-97a131093b7c,fbb
Shield Wall,,2025-10-04T20:52:02,-,,,Regular,,{1}{W},2,1,C,,bd47205e-7053-436f-8192-b64fbaa3487f,pmei
Shrieking Drake,,2025-10-04T10:08:51,-,,,Regular,,{U},1,1,C,,dae31023-2649-4f37-b1ec-d9f650d53f09,pmei
Shrieking Drake,,2025-10-04T10:09:27,-,,,Regular,,{U},1,1,C,,dae31023-2649-4f37-b1ec-d9f650d53f09,pmei
Shrieking Drake,,2025-10-04T10:09:34,-,,,Regular,,{U},1,1,C,,dae31023-2649-4f37-b1ec-d9f650d53f09,pmei
Shrieking Drake,,2025-10-04T10:08:48,-,,,Regular,,{U},1,1,C,,dae31023-2649-4f37-b1ec-d9f650d53f09,pmei
Swamp,,2025-10-01T20:51:43,-,,,Regular,,,0,1,C,,38a52061-543a-4b8b-af22-646dc6cd1563,rqs
The Rack,,2025-10-04T00:11:41,-,,,Regular,,{1},1,1,U,,5f4d3e9f-d42a-4f9c-9230-32533d0e3873,4bb
Tunnel,,2025-10-01T23:17:31,-,,,Regular,,{R},1,1,U,,1869221d-5d57-4fba-98fc-ba6a990d65a2,4bb
Urza's Mine,,2025-10-03T23:58:02,-,,,Regular,,,0,1,U,,97def2ea-97b5-4739-81cb-f7b299da76c7,bchr
Urza's Power Plant,,2025-10-03T23:58:20,-,,,Regular,,,0,1,U,,7aa1e9c9-3522-4944-8e01-6988b33a9bb8,bchr
Urza's Power Plant,,2025-10-03T23:58:23,-,,,Regular,,,0,1,U,,1080d56c-ff6c-4ef6-b3af-707c238d5442,bchr
Wall of Spears,,2025-10-04T00:08:18,-,,,Regular,,{3},3,1,C,,2fcddfa3-4292-4bf2-b2b4-924197c8d40e,4bb
Zombie Master,,2025-10-01T19:28:02,-,,,Regular,,{1}{B}{B},3,1,R,,5586a16f-6d37-4b07-90ea-cc55ab0785cf,fbb
Aladdin's Lamp,,2025-10-04T02:05:31,-,,,Regular,,{10},10,1,R,,81264242-bdac-4342-9420-16e7c2c84ee6,sum
Castle,,2025-10-04T21:42:14,-,,,Regular,,{3}{W},4,1,U,,952ac33e-61a4-4a7d-83d3-19d9c228dd77,30a
Contract from Below,,2025-10-01T20:34:31,-,,,Regular,,{B},1,1,R,Reserved List,115afb20-dc8c-47e7-9704-4ebf33a676cc,fbb
Counterspell,,2025-10-04T11:33:43,-,,,Regular,,{U}{U},2,1,U,,4dd995aa-6aa1-495e-8d00-37fdbdbdbc7b,30a
Demonic Attorney,,2025-10-01T20:38:53,-,,,Regular,,{1}{B}{B},3,1,R,Reserved List,0d4814f4-8142-45b2-aa7d-379bd41aee44,fbb
Demonic Attorney,,2025-10-01T20:38:50,-,,,Regular,,{1}{B}{B},3,1,R,Reserved List,fd891fc6-d9d6-494e-ae65-8bea8f44b575,lea
Disrupting Scepter,,2025-10-04T01:57:07,-,,,Regular,,{3},3,1,R,,ca571ee8-07a2-43b8-9acf-89cbfd3cf7c9,lea
Mesa Pegasus,,2025-10-04T18:48:25,-,,,Regular,,{1}{W},2,1,C,,34f2b9e3-4c45-4f39-b4ea-acdaa2462289,itp
Mijae Djinn,,2025-10-01T23:08:16,-,,,Regular,,{R}{R}{R},3,1,R,,fa722c84-9257-4ed1-ace7-7e0953bc9ced,sum
Pearled Unicorn,,2025-10-04T18:55:51,-,,,Regular,,{2}{W},3,1,C,,51f65bc2-e05f-4885-946c-523c2a30f350,itp
Rocket Launcher,,2025-10-04T01:59:22,-,,,Regular,,{4},4,1,R,,551c2217-fdf5-465f-8522-1b88c111be7d,sum
Spell Blast,,2025-10-04T11:27:55,-,,,Regular,,{X}{U},1,1,C,,bc9cea21-97d7-4174-9140-140334af2c12,sum
Unholy Strength,,2025-10-01T20:48:27,-,,,Regular,,{B},1,1,C,,14ffcd73-dfb2-4056-a7a4-d71c4c7c9ef7,sum
Wall of Brambles,,2025-10-01T22:21:30,-,,,Regular,,{2}{G},3,1,U,,bf6b9f4f-5b7e-4221-a3da-db31c280cf13,fbb
Wanderlust,,2025-10-01T22:47:22,-,,,Regular,,{2}{G},3,1,U,,3d0ae4aa-7681-4663-ad08-da23f85ab08a,fbb
Barbarian Lunatic,,2025-10-01T23:09:00,-,,,Regular,,{2}{R},3,1,C,,6c899f9b-ebce-4424-9cd9-861a50a5f7d2,ody
Dauntless Cathar,,2025-10-04T18:50:39,-,,,Regular,,{2}{W},3,1,C,,35f8d43a-a62a-433a-afd3-a3b16ba7cb10,inr
Dauntless Cathar,,2025-10-04T18:53:17,-,,,Regular,,{2}{W},3,1,C,,35f8d43a-a62a-433a-afd3-a3b16ba7cb10,inr
Faith's Fetters,,2025-10-04T23:15:31,-,,,Regular,,{3}{W},4,1,C,,f5d14ec7-f62a-435a-8a8a-5ae205b4156e,rvr
Strength of Night,,2025-10-01T22:37:28,-,,,Regular,,{2}{G},3,1,C,,87aab031-4e44-44cd-89a7-6cffc7288cd1,apc
Strength of Night,,2025-10-01T22:37:44,-,,,Regular,,{2}{G},3,1,C,,87aab031-4e44-44cd-89a7-6cffc7288cd1,apc
Battering Craghorn,,2025-10-01T23:10:56,-,,,Regular,,{2}{R}{R},4,1,C,,9ef71f42-87e5-4b1d-aac1-3752b81cee7c,ons
Bonethorn Valesk,,2025-10-01T23:14:21,-,,,Regular,,{4}{R},5,1,C,,297d7326-ad03-464d-97e2-443042d48f92,scg
Break Asunder,,2025-10-01T22:42:01,-,,,Regular,,{2}{G}{G},4,1,C,,fb989895-a5c7-4151-8620-ab277d826303,scg
Break Asunder,,2025-10-01T22:42:05,-,,,Regular,,{2}{G}{G},4,1,C,,fb989895-a5c7-4151-8620-ab277d826303,scg
Daru Healer,,2025-10-04T18:56:31,-,,,Regular,,{2}{W},3,1,C,,0e4f3eff-ac99-41e2-9003-9630cdb3ae23,ons
Dega Disciple,,2025-10-04T18:38:29,-,,,Regular,,{W},1,1,C,,fb9cd7d9-8aad-4607-890c-9c8efe016a92,apc
Dwarven Landslide,,2025-10-01T23:34:41,-,,,Regular,,{3}{R},4,1,C,,48ab243e-d08d-4ece-9725-4bb5f67b1c92,apc
Mystic Zealot,,2025-10-04T19:00:24,-,,,Regular,,{3}{W},4,1,C,,1ba21062-5d13-47b9-bea1-ded8530a9aeb,ody
Renewed Faith,,2025-10-04T20:53:58,-,,,Regular,,{2}{W},3,1,C,,c1df3e4d-d8a5-417b-a765-351564f0c38f,dmr
Skirk Outrider,,2025-10-01T23:11:54,-,,,Regular,,{3}{R},4,1,C,,416de0f4-1540-4286-a1ac-4f57301c54e9,lgn
Totally Lost,,2025-10-04T11:38:07,-,,,Regular,,{4}{U},5,1,C,,79d47594-c39a-4ae4-bc86-373b678b86ae,rvr
Breezekeeper,,2025-10-04T10:20:39,-,,,Regular,,{3}{U},4,1,C,,beaefa77-6e4a-4724-a443-fa6b45803db5,vis
Cloak of Confusion,,2025-10-01T20:50:07,-,,,Regular,,{1}{B},2,1,C,,430a4e23-d13c-4413-9032-f18350a128da,5ed
Crusader of Odric,,2025-10-04T18:50:35,-,,,Regular,,{2}{W},3,1,C,,1c2129b9-b911-41b2-89f5-ac2bd838febb,inr
Gather the Townsfolk,,2025-10-04T21:30:57,-,,,Regular,,{1}{W},2,1,C,,910f30f5-3800-4abd-b8c3-540b61f30746,inr
Glade Gnarr,,2025-10-01T22:33:07,-,,,Regular,,{5}{G},6,1,C,,ee38eeae-918b-4d19-b37a-175ac5db37a4,apc
Hallowed Healer,,2025-10-04T18:55:38,-,,,Regular,,{2}{W},3,1,C,,254d5bf0-f985-4919-a142-d4578ae9a38e,ody
Helionaut,,2025-10-04T18:53:39,-,,,Regular,,{2}{W},3,1,C,,3a4d395e-d7d6-4e93-9761-b0bae63b7b1c,apc
Lull,,2025-10-01T22:36:50,-,,,Regular,,{1}{G},2,1,C,,3d24540d-28e6-4e49-acd4-216b1ef27e7f,dmr
Minotaur Illusionist,,2025-10-03T23:37:34,-,,,Regular,,{3}{U}{R},5,1,U,,d8a49d29-6d01-4b1d-80c8-9e5378a76878,apc
Necrosavant,,2025-10-01T19:48:59,-,,,Regular,,{3}{B}{B}{B},6,1,U,,541f7677-5f35-4cb9-a938-dba13fb7863a,dmr
Rishadan Airship,,2025-11-16T17:56:04,-,,,Regular,,{2}{U},3,1,C,,b3ea87f1-fbe2-4905-8a97-ceef9d3d0faf,jmp
Self-Assembler,,2025-10-04T00:09:41,-,,,Regular,,{5},5,1,U,,8dddb553-7c29-48df-9aeb-c9dd0efc3563,brr
Self-Assembler,,2025-10-04T00:09:45,-,,,Regular,,{5},5,1,U,,8dddb553-7c29-48df-9aeb-c9dd0efc3563,brr
Sigil of Valor,,2025-10-04T01:45:40,-,,,Regular,,{2},2,1,U,,cceb512c-9244-41ea-b1bb-3029cbc648dc,brr
Solar Blast,,2025-10-01T23:24:40,-,,,Regular,,{3}{R},4,1,C,,b36fc40c-6a68-4192-91d9-2031c7d32e05,ons
Strength of Night,,2025-10-01T22:37:31,-,,,Regular,,{2}{G},3,1,C,,870dec39-e229-4872-9c60-91fa12c0d93d,plst
Strength of Night,,2025-10-01T22:37:37,-,,,Regular,,{2}{G},3,1,C,,870dec39-e229-4872-9c60-91fa12c0d93d,plst
Town Gossipmonger // Incited Rabble,,2025-10-04T18:38:44,-,,,Regular,,{W},1,1,U,,51d3da6f-5598-4795-8a27-91734c9fc688,inr
Treespring Lorian,,2025-10-01T22:33:02,-,,,Regular,,{5}{G},6,1,C,,f525d7ce-37d3-4989-beb4-173447cb5294,ons
Village Messenger // Moonrise Intruder,,2025-10-01T22:59:53,-,,,Regular,,{R},1,1,C,,501f9a9f-659f-4867-afca-7b461c03d013,inr
Animist's Might,,2025-10-01T22:41:13,-,,,Showcase,,{2}{G},3,1,U,,a7267a33-c9b2-485d-afbc-a27e4792abf4,mat
Aven Liberator,,2025-10-04T19:00:33,-,,,Regular,,{2}{W}{W},4,1,C,,b2804006-2a60-400c-be0b-8aa042469372,scg
Aven Liberator,,2025-10-04T19:00:36,-,,,Regular,,{2}{W}{W},4,1,C,,b2804006-2a60-400c-be0b-8aa042469372,scg
Borrowed Hostility,,2025-10-01T23:16:59,-,,,Regular,,{R},1,1,C,,a3684fcb-6fb0-40b0-ac43-11f664868a5c,inr
Butcher's Cleaver,,2025-10-04T01:58:22,-,,,Regular,,{3},3,1,U,,3c55bce1-8746-4554-9876-f443c37a125b,inr
Centaur Veteran,,2025-10-01T22:32:58,-,,,Regular,,{5}{G},6,1,C,,a83903c1-40fe-47a5-8bcc-2f0877c58225,tor
Cloudfin Raptor,,2025-10-04T10:09:05,-,,,Regular,,{U},1,1,C,,013bedfc-6916-49f3-b6bf-de81ec00d4a1,rvr
Crown of Suspicion,,2025-10-01T20:49:17,-,,,Regular,,{1}{B},2,1,C,,8953e11b-cc3a-4c8d-9d7e-04bf90c77027,ons
Darkling Stalker,,2025-10-01T19:39:47,-,,,Regular,,{3}{B},4,1,C,,4eb883b7-da6a-45c3-9dde-61334a0ddcae,tmp
Defensive Maneuvers,,2025-10-04T20:55:33,-,,,Regular,,{3}{W},4,1,C,,58f9eb25-4140-4ecf-bcaa-1b193d884007,ons
Gravel Slinger,,2025-10-04T19:00:29,-,,,Regular,,{3}{W},4,1,C,,87551307-6b5f-4f12-aa1f-4beebefad3b3,ons
Hamlet Captain,,2025-10-01T22:19:03,-,,,Regular,,{1}{G},2,1,U,,a313e62d-a341-4c34-8e68-f7577527b846,inr
Iron Will,,2025-10-04T20:47:28,-,,,Regular,,{W},1,1,C,,bee0ee84-6c22-4649-b621-e3fdb08bbe45,ulg
Power Armor,,2025-10-04T01:59:01,-,,,Regular,,{4},4,1,U,,42e41ae2-2e4d-43a1-95c4-a80b53b9a220,plst
Rock Jockey,,2025-10-01T23:06:56,-,,,Regular,,{2}{R},3,1,C,,8f836e90-3255-48bd-a174-6a127528551e,scg
Rock Jockey,,2025-10-01T23:07:02,-,,,Regular,,{2}{R},3,1,C,,8f836e90-3255-48bd-a174-6a127528551e,scg
Silent Departure,,2025-10-01T21:01:17,-,,,Regular,,{U},1,1,C,,39abced0-7c82-4db2-9ff2-92f7689e4055,inr
Silent Departure,,2025-10-04T11:39:44,-,,,Regular,,{U},1,1,C,,39abced0-7c82-4db2-9ff2-92f7689e4055,inr
Silent Departure,,2025-10-04T11:39:49,-,,,Regular,,{U},1,1,C,,39abced0-7c82-4db2-9ff2-92f7689e4055,inr
Sky Hussar,,2025-10-03T20:14:56,-,,,Regular,,{3}{W}{U},5,1,U,,3467c768-c33e-4faf-9790-e72c6e508d96,rvr
Soul Separator,,2025-10-04T01:58:36,-,,,Regular,,{3},3,1,U,,9e1e52fe-bceb-416b-bd7f-2887f25c7b20,inr
Soulcipher Board // Cipherbound Spirit,,2025-10-04T18:30:42,-,,,Regular,,{1}{U},2,1,U,,15b326af-3ddd-4e34-9c83-77c11ea69101,inr
Trained Armodon,,2025-10-01T22:24:47,-,,,Regular,,{1}{G}{G},3,1,C,,2380ab8f-58d2-4e1c-a115-cd2615b5a871,tmp
Wretched Gryff,,2025-10-04T00:04:34,-,,,Regular,,{7},7,1,C,,09505223-683b-4ce8-a907-f21d858e5b3d,inr
Zealous Inquisitor,,2025-10-04T18:55:04,-,,,Regular,,{2}{W},3,1,C,,1fb821b6-4e73-4970-b1ac-b67c93990ec0,scg
Zealous Inquisitor,,2025-10-04T18:55:14,-,,,Regular,,{2}{W},3,1,C,,1fb821b6-4e73-4970-b1ac-b67c93990ec0,scg
Agent of Shauku,,2025-10-01T19:18:07,-,,,Regular,,{1}{B},2,1,C,,d8316804-6f8b-423e-a2c3-fa476c095544,pcy
Air Bladder,,2025-10-04T13:28:30,-,,,Regular,,{U},1,1,C,,a7363c6f-53a3-4f41-b451-8120bc24f1ee,nem
Alms,,2025-10-04T21:33:10,-,,,Regular,,{W},1,1,C,,97382dd8-2754-4ca3-8ba8-d655acaf22ac,wth
Ascending Aven,,2025-10-04T10:20:07,-,,,Regular,,{2}{U}{U},4,1,C,,bd8b17df-615c-4cc1-af1a-2fc35a985af9,ons
Aven Flock,,2025-10-04T20:41:46,-,,,Regular,,{4}{W},5,1,C,,29866d0b-f9be-4284-9d21-03598ef6ae4f,ody
Aven Flock,,2025-10-04T20:41:55,-,,,Regular,,{4}{W},5,1,C,,29866d0b-f9be-4284-9d21-03598ef6ae4f,ody
Aysen Bureaucrats,,2025-10-04T18:44:02,-,,,Regular,,{1}{W},2,1,C,,b01c564f-d997-4667-93af-c8495d8764e6,5ed
Aysen Bureaucrats,,2025-10-04T18:44:07,-,,,Regular,,{1}{W},2,1,C,,b01c564f-d997-4667-93af-c8495d8764e6,5ed
Break Open,,2025-10-01T23:20:55,-,,,Regular,,{1}{R},2,1,C,,a5ae8050-b644-41db-b1e9-d9bad2173485,ons
Cagemail,,2025-10-04T23:13:13,-,,,Regular,,{1}{W},2,1,C,,72ab91ab-2bcf-4617-bec3-2bf040d4997c,jud
Cagemail,,2025-10-04T23:13:17,-,,,Regular,,{1}{W},2,1,C,,72ab91ab-2bcf-4617-bec3-2bf040d4997c,jud
Call of the Conclave,,2025-10-03T23:35:43,-,,,Regular,,{G}{W},2,1,C,,2bd5bf6c-d022-42e2-b8a6-41781c2bdbe0,rvr
Cinder Wall,,2025-10-01T22:59:19,-,,,Regular,,{R},1,1,C,,6c1e429c-2e66-4363-b50a-b12b72efa060,wth
Cloud Elemental,,2025-10-04T10:13:57,-,,,Regular,,{2}{U},3,1,C,,4f2a5146-cf2e-40c0-b498-06e611343196,vis
Clutch of Undeath,,2025-10-01T20:50:55,-,,,Regular,,{3}{B}{B},5,1,C,,7301fdec-ca17-47ae-9a0a-84ea8665ece1,scg
Coral Merfolk,,2025-10-04T10:12:20,-,,,Regular,,{1}{U},2,1,C,,837d82a9-aef8-4079-a485-05ada1b66322,usg
Deadwood Treefolk,,2025-10-01T22:33:08,-,,,Regular,,{5}{G},6,1,U,,6a39ab84-1f0f-4b4f-a13d-301960bbc971,dmr
Elsewhere Flask,,2025-10-04T01:45:28,-,,,Regular,,{2},2,1,U,,c0a482d1-3ed3-4782-90b4-69474862ec0c,brr
Ember Shot,,2025-10-01T23:25:07,-,,,Regular,,{6}{R},7,1,C,,6a9eb72b-9ae2-4b64-bbb9-187446b5fd2f,jud
Fever Charm,,2025-10-01T23:18:23,-,,,Regular,,{R},1,1,C,,830d1980-f460-4be2-9379-c3f74c8318f3,ons
Gisa's Bidding,,2025-10-01T20:40:44,-,,,Regular,,{2}{B}{B},4,1,C,,6eda8787-8f57-4894-a911-a91f92812062,inr
Grassland Crusader,,2025-10-04T20:42:14,-,,,Regular,,{5}{W},6,1,C,,c129f361-8769-4f9a-9745-eb5d0c085b88,ons
Grassland Crusader,,2025-10-04T20:42:18,-,,,Regular,,{5}{W},6,1,C,,c129f361-8769-4f9a-9745-eb5d0c085b88,ons
Guided Strike,,2025-10-04T20:52:21,-,,,Regular,,{1}{W},2,1,C,,d13138c1-e98f-4803-8c68-ffc80139c168,jud
Immobilizing Ink,,2025-10-04T13:31:13,-,,,Regular,,{1}{U},2,1,C,,ee6e2d96-dd9e-45f6-b412-78562f2ada40,ody
It of the Horrid Swarm,,2025-10-04T00:04:23,-,,,Regular,,{8},8,1,C,,7058dadd-e2ca-4fef-9689-6cfa69e878c7,inr
It of the Horrid Swarm,,2025-10-04T00:04:37,-,,,Regular,,{8},8,1,C,,7058dadd-e2ca-4fef-9689-6cfa69e878c7,inr
Lightning Mauler,,2025-10-01T23:03:25,-,,,Regular,,{1}{R},2,1,U,,959a0170-7949-4e4a-937d-0ae732c10062,inr
Mercurial Kite,,2025-10-04T10:20:36,-,,,Regular,,{3}{U},4,1,C,,a6bc8655-ae27-40be-8d61-e80a5924e955,scg
Mystic Visionary,,2025-10-04T18:49:47,-,,,Regular,,{1}{W},2,1,C,,48ed1b3d-0f7e-46ff-ada7-ebbd416ecf5b,ody
Phantom Whelp,,2025-10-04T10:11:42,-,,,Regular,,{1}{U},2,1,C,,9216e73b-56ef-48b9-a6a1-b370fb0d97c1,ody
Phyrexian Driver,,2025-10-01T19:25:57,-,,,Regular,,{2}{B},3,1,C,,efeef7f3-5b87-440d-a851-95ae2bdb840d,nem
Shoreline Raider,,2025-10-04T10:13:45,-,,,Regular,,{2}{U},3,1,C,,d895b3b8-2acc-4c9f-8341-f651c1255b7c,inv
Torture,,2025-10-01T20:48:49,-,,,Regular,,{B},1,1,C,,0afdd3de-4f0c-4b78-8534-562db8be9c6b,5ed
Tranquil Path,,2025-10-01T22:42:35,-,,,Regular,,{4}{G},5,1,C,,2da8c059-3309-49a5-ae97-c048aefc922f,apc
Veiled Serpent,,2025-10-04T13:25:19,-,,,Regular,,{2}{U},3,1,C,,25193fd6-3156-48ff-90fa-71328ee7adf5,usg
Aberrant Researcher // Perfected Form,,2025-10-04T10:19:20,-,,,Regular,,{3}{U},4,1,U,,10f0a7f3-35b4-44f3-b58f-8a0556a189c9,inr
Alchemist's Greeting,,2025-10-01T23:26:57,-,,,Regular,,{4}{R},5,1,C,,79ab381f-9392-4f39-8c63-a12eb60b00a5,inr
Alchemist's Greeting,,2025-10-01T23:27:00,-,,,Regular,,{4}{R},5,1,C,,79ab381f-9392-4f39-8c63-a12eb60b00a5,inr
Angelic Curator,,2025-10-04T18:48:59,-,,,Regular,,{1}{W},2,1,U,,332352c2-98f2-4eb8-b49a-026a39df227b,mh2
Angelic Purge,,2025-10-04T21:31:11,-,,,Regular,,{2}{W},3,1,C,,d1218c2a-9b59-4e31-8eca-7557f15b41b7,inr
Aven Cloudchaser,,2025-10-04T19:00:59,-,,,Regular,,{3}{W},4,1,C,,08afe190-368e-4259-9959-00beaccee7ba,ody
Aven Farseer,,2025-10-04T18:48:19,-,,,Regular,,{1}{W},2,1,C,,47854e89-4d22-4eb6-a77d-6f04407bd2e5,scg
Aven Farseer,,2025-10-04T18:48:21,-,,,Regular,,{1}{W},2,1,C,,47854e89-4d22-4eb6-a77d-6f04407bd2e5,scg
Aven Farseer,,2025-10-04T18:48:23,-,,,Regular,,{1}{W},2,1,C,,47854e89-4d22-4eb6-a77d-6f04407bd2e5,scg
Backslide,,2025-10-04T11:33:21,-,,,Regular,,{1}{U},2,1,C,,47c40269-80a5-454f-83dd-dae1c11500c0,ons
